Symbol,Name,Last Price,Open,High,Low,Prev Close,Volume,Change %,RSI 14
FOCUS,FOCUS LIGHTG & FIXTRS,77.55,79.25,81.01,76.2,77.55,0,0.0,79.56
SMLT,SARTHAK METALS,70.37,72,72,68.86,70.37,0,0.0,79.9
GREENLAM,GREENLAM INDUSTRIES,223.08,228.36,230,222.21,223.08,0,0.0,66.08
DHRUV,DHRUV CONSULTANCY SER,35.18,35.89,37.34,34.34,35.18,0,0.0,73.57
BAJAJHCARE,BAJAJ HEALTHCARE,323.8,336.95,336.95,322,323.8,0,0.0,62.57
VISHNU,VISHNU CHEMICALS,581.35,592.95,600,575.65,581.35,0,0.0,74.17
RPPL,RAJSHREE POLYPACK,16.05,16.26,16.3,15.84,16.05,0,0.0,58.69
TARSONS,TARSONS PRODUCTS,206.97,215.11,217.68,206.03,206.97,0,0.0,78.37
GANECOS,GANESHA ECOSPHERE,1008.5,1044.95,1050,992.2,1008.5,0,0.0,63.6
LINC,LINC,97.41,98.01,99.12,96.6,97.41,0,0.0,73.75
MENONBE,MENON BEARINGS,118.74,124.65,124.65,117.83,118.74,0,0.0,67.7
GOCOLORS,GO FASHION INDIA,280.21,289.8,292.7,270.61,280.21,0,0.0,65.93
DMCC,DMCC SPECIALITY CHEMICALS,272.53,271.75,275,267.03,272.53,0,0.0,75.28
BSOFT,BIRLASOFT,368.65,385,385.95,366.2,368.65,0,0.0,62.1
SHIVALIK,SHIVALIK RASAYAN,263.69,271.78,271.78,260.5,263.69,0,0.0,66.74
ASIANENE,ASIAN ENERGY SERVICES,308.16,316.22,318,307,308.16,0,0.0,80.18
HESTERBIO,HESTER BIOSCIENCES,1492,1484,1519.8,1450.1,1492,0,0.0,85.08
ACCELYA,ACCELYA SOLN INDIA,1160.3,1200.3,1210.4,1151,1160.3,0,0.0,69.59
MAHKTECH,MIRAE ASSET HANG SENG TECH ETF,23.89,23.89,23.89,23.89,23.89,0,0.0,62.49
STARHEALTH,STAR HEALTH & AL INS CO L,512.65,517.6,520.8,508.5,512.65,0,0.0,75.66
SGBD29VIII-GB,2.50%GOLDBONDS2029SR-VIII,15073.01,14999.99,15100,14861,15073.01,0,0.0,79.41
TEGA,TEGA INDUSTRIES,1680.1,1705,1728,1676.4,1680.1,0,0.0,51.84
JMA,JULLUNDUR MOT AGENCY,88.32,92.61,92.77,87.5,88.32,0,0.0,71.24
ZODIAC,ZODIAC ENERGY,345.54,379.89,391.41,336,345.54,0,0.0,85.48
ANANDRATHI,ANAND RATHI WEALTH,3580.9,3620,3640.2,3550,3580.9,0,0.0,83.28
MICEL,MIC ELECTRONICS,40.81,41.83,42.21,40.35,40.81,0,0.0,78.92
RATEGAIN,RATEGAIN TRAVEL TECHN,589.85,586.4,596,562.7,589.85,0,0.0,89.96
SHRIRAMPPS,SHRIRAM PROPERTIES,82.53,83.7,83.85,82.1,82.53,0,0.0,82.67
MAPMYINDIA,C.E. INFO SYSTEMS,921.85,950,954.75,917.5,921.85,0,0.0,66.08
HCLTECH,HCL TECHNOLOGIES,1203.2,1264.4,1264.8,1198.1,1203.2,0,0.0,33.85
METROBRAND,METRO BRANDS,1042.45,1055.05,1073.15,1038,1042.45,0,0.0,78.35
MEDPLUS,MEDPLUS HEALTH SERV,903.65,910.8,915,887.8,903.65,0,0.0,73.87
JTLIND,JTL INDUSTRIES,81.39,77.49,82.7,75.55,81.39,0,0.0,91.57
DCMSRIND,DCM SHRIRAM IND,40.1,42.25,42.5,39.95,40.1,0,0.0,70.45
ABSLNN50ET,ADITYA BIRLA SUN LIFE NIFTY NEXT 50 ETF,73.4,72.03,74.24,72.03,73.4,0,0.0,83.36
DATAPATTNS,DATA PATTERNS INDIA,4077.7,4135,4147,3868,4077.7,0,0.0,84.15
STAR,STRIDES PHARMA SCI,1066.25,1079.05,1089.9,1042.85,1066.25,0,0.0,80.0
HPAL,HP ADHESIVES,37.98,39,40.77,37.5,37.98,0,0.0,73.59
SUPRIYA,SUPRIYA LIFESCIENCE,642.85,663.5,668.9,632.05,642.85,0,0.0,68.63
GLENMARK,GLENMARK PHARMACEUTICALS,2299.5,2351,2372.8,2283.2,2299.5,0,0.0,70.79
NILASPACES,NILA SPACES,13.13,13.5,13.5,13.05,13.13,0,0.0,68.38
ALPHA,KOTAK NIFTY ALPHA 50 ETF,48.64,48.88,49.18,48.35,48.64,0,0.0,85.07
MANAKCOAT,MAN COAT METAL & IND,105.91,106.93,107.29,101.51,105.91,0,0.0,65.16
MONQ50,MOTILAL OSWAL NASDAQ Q 50 ETF,126.68,126.68,126.68,126.28,126.68,0,0.0,98.25
HECPROJECT,HEC INFRA PROJECTS,132.95,138.59,139.06,131.55,132.95,0,0.0,71.33
MIDQ50ADD,DSP NIFTY MIDCAP 150 QUALITY 50 ETF,238.09,240.77,241.31,236.72,238.09,0,0.0,77.92
BLUECOAST,BLUE COAST HOTELS,29.57,31.81,31.81,28.26,29.57,0,0.0,96.6
WOCKPHARMA,WOCKHARDT,1405.2,1451,1455.9,1401.1,1405.2,0,0.0,78.1
ZENTEC,ZEN TECHNOLOGIES,1674.4,1731.2,1751,1647.3,1674.4,0,0.0,80.54
TREJHARA,TREJHARA SOLUTIONS,161.7,169.99,170.92,160.4,161.7,0,0.0,63.59
NRBBEARING,NRB BEARING,282.62,290.67,294.6,279.48,282.62,0,0.0,78.17
UNITEDPOLY,UNITED POLYFAB GUJ.,29.74,29.15,30.5,28.52,29.74,0,0.0,72.54
CMSINFO,CMS INFO SYSTEMS,302.15,312.75,315.8,300,302.15,0,0.0,69.21
SHREERAMA,SHREE RAMA MULTI TECH,46.04,46.47,46.55,45.37,46.04,0,0.0,49.24
SGBDEC26-GB,2.50%GOLDBONDS2026SR-IV,14950,14950,14950,14950,14950,0,0.0,66.79
IIFLHFZC27-NB,,1383.01,0,1383.01,1383.01,1383.01,0,0.0,
IMAGICAA,IMAGICAAWORLD ENT,46.92,47.75,48.13,46.5,46.92,0,0.0,77.78
IIFLHF29-NE,,1270.5,0,1270.5,1270.5,1270.5,0,0.0,
MONARCH,MONARCH NETWORTH CAP,294.9,296.05,297.73,291.08,294.9,0,0.0,73.35
BCONCEPTS,BRAND CONCEPTS,246.02,232.35,248.38,232.35,246.02,0,0.0,67.59
UNIINFO,UNIINFO TELECOM SERVI,14.78,14.8,15.1,14.25,14.78,0,0.0,90.02
WEL,WONDER ELECTRICALS,102.58,105.05,106.88,100.37,102.58,0,0.0,56.4
BIL,BHARTIYA INTERNATIONAL,788.45,815,815,766,788.45,0,0.0,74.43
RAMCOSYS,RAMCO SYSTEMS,419.15,426.5,428.8,414.25,419.15,0,0.0,75.12
INOXWIND,INOX WIND,100.13,102,102.78,98.41,100.13,0,0.0,80.76
SGBJAN30IX-GB,2.50%GOLDBONDS2030SR-IX,15039.5,15000,15150,15000,15039.5,0,0.0,79.94
MHLXMIRU,MAHALAXMI RUBTECH,175.81,185.01,185.01,171.98,175.81,0,0.0,67.58
LFIC,LAKSHMI FIN IND CORP,138.54,145,145,136.5,138.54,0,0.0,70.47
ZYDUSLIFE,ZYDUS LIFESCIENCES,927.4,948,951.75,922.55,927.4,0,0.0,68.76
AVANTIFEED,AVANTI FEEDS,1421.1,1475.4,1495.6,1394.5,1421.1,0,0.0,69.16
MALLCOM,MALLCOM (INDIA),1092.45,1085.65,1120,1061.1,1092.45,0,0.0,71.07
MAKEINDIA,MIRAE ASSET NIFTY INDIA MANUFACTURING ETF,155.92,161.27,161.27,155.38,155.92,0,0.0,78.76
GRWRHITECH,GARWARE HI-TECH FILMS,4035.9,4203.7,4214.8,4000,4035.9,0,0.0,73.14
CINEVISTA,CINEVISTA,15.96,16.82,16.82,15.8,15.96,0,0.0,65.31
MAHLIFE,MAHINDRA LIFESPACE DEVLTD,317.9,326.25,327.85,314.95,317.9,0,0.0,60.22
KTKBANK,KARNATAKA BANK,242.04,245.54,247,240.46,242.04,0,0.0,67.85
DALBHARAT,DALMIA BHARAT,1962.5,1971,1975.2,1919.1,1962.5,0,0.0,71.09
CROWN,CROWN LIFTERS,134.76,141.5,141.5,133.01,134.76,0,0.0,77.35
AWL,AWL AGRI BUSINESS,197.74,197.29,199.66,194.61,197.74,0,0.0,72.04
RPSGVENT,RPSG VENTURES,840.4,870,885.95,836,840.4,0,0.0,52.5
AJANTPHARM,AJANTA PHARMA,2765.3,2801.8,2818,2755,2765.3,0,0.0,45.47
DEVIT,DEV INFO TECHNOLOGY,33.67,35,36.15,33.23,33.67,0,0.0,80.69
MEGASTAR,MEGASTAR FOODS,269.15,272.15,282.65,265.35,269.15,0,0.0,56.69
SPENCERS,SPENCER S RETAIL,33.12,34.79,34.79,32.75,33.12,0,0.0,73.44
MANYAVAR,VEDANT FASHIONS,450.05,462.35,462.85,445.8,450.05,0,0.0,78.71
SAGARDEEP,SAGARDEEP ALLOYS,23.58,24.49,24.54,23.5,23.58,0,0.0,64.87
MOMOMENTUM,MOTILAL OSWAL NIFTY 200 MOMENTUM 30 ETF,61.47,61.77,62,61,61.47,0,0.0,74.56
ICICISINAV,ICICISILVE NAV,237.88,0,0,0,237.94,0,-0.03,
IDBIGOINAV,IDBIGOLD NAV,134.75,0,0,0,134.96,0,-0.16,
IVZINGINAV,IVZINGOLD NAV,12211.48,0,0,0,11560.55,0,5.63,
AXISGOINAV,AXISGOLD NAV,124.12,0,0,0,124.89,0,-0.62,
BSLGOLINAV,BSLGOLDETF NAV,131.53,0,0,0,131.71,0,-0.14,
HDFCMFINAV,HDFCMFGETF NAV,128.01,0,0,0,128.01,0,0.0,
ICICIGINAV,ICICIGOLD NAV,128.08,0,0,0,128.28,0,-0.16,
KOTAKGINAV,KOTAKGOLD NAV,124.65,0,0,0,125.03,0,-0.3,
SGBJAN27-GB,2.50%GOLDBONDS2027SR-V,14913.07,14806,14940,14800,14913.07,0,0.0,79.99
BLUESTARCO,BLUE STAR,1818.4,1829.8,1846.3,1785.8,1818.4,0,0.0,66.57
CALSOFT,CALIFORNIA SOFTWARE CO LT,12.02,12.35,12.35,11.9,12.02,0,0.0,44.0
